id_client;job_category;service_channel;nb_internet_products;contract_type;risk_of_credit;credit_flux;annual_flux;target
1;8690;PRO;2;1;8;0 a 70% de flux;20903,81;0
2;8690;PRO;1;1;7;0 a 70% de flux;5192,5;0
3;7022Z;BUREAU DE POSTE;1;1;6;Pas de flux;;0
4;4399C;BUREAU DE POSTE;0;1;CESS;0 a 70% de flux;33,4;0
5;9609Z;PRO;2;1;7;0 a 70% de flux;13910;0
6;7022Z;BUREAU DE POSTE;1;1;8;Inconnu;6200;0
7;8690E;BUREAU DE POSTE;2;1;7;Inconnu;27301,9;0
8;4399C;BUREAU DE POSTE;2;1;3;Inconnu;67964,34;0
9;8690;PRO;1;1;8;Pas de flux;;0
10;7430Z;BUREAU DE POSTE;2;1;8;0 a 70% de flux;4196;0
11;8690;PRO;1;1;8;0 a 70% de flux;2135,31;0
12;6831Z;PRO;2;1;7;0 a 70% de flux;23442,4;0
13;9609Z;BUREAU DE POSTE;0;1;;Inconnu;1420;0
14;1071C;A DISTANCE;2;1;7;Plus de 70% de flux;180900,93;1
15;9604Z;BUREAU DE POSTE;2;1;8;Inconnu;2240;0
16;5630Z;PRO;1;1;5;Plus de 70% de flux;74629,25;1
17;4332A;PRO;2;1;7;0 a 70% de flux;23595,36;0
18;8690;PRO;2;1;8;0 a 70% de flux;31116,66;0
19;8690;PRO;1;1;7;0 a 70% de flux;13342,02;0
20;8552Z;PRO;1;1;7;Pas de flux;;0
21;9511Z;PRO;1;1;7;Inconnu;18220,3;0
22;8690E;BUREAU DE POSTE;1;1;7;Inconnu;11317,24;0
23;5020Z;BUREAU DE POSTE;2;1;7;Pas de flux;;0
24;9003A;PRO;2;1;8;0 a 70% de flux;12550,79;0
25;5630Z;A DISTANCE;1;1;5;0 a 70% de flux;36011,36;1
26;7111Z;PRO;2;1;7;0 a 70% de flux;10178,94;0
27;8690;PRO;2;1;8;0 a 70% de flux;26910,17;0
28;2370Z;BUREAU DE POSTE;2;1;;Inconnu;4989;0
29;6831Z;PRO;2;1;6;0 a 70% de flux;26900;0
30;8690;BUREAU DE POSTE;1;1;8;Inconnu;13835,5;0
31;9609Z;BUREAU DE POSTE;2;1;7;Inconnu;4702,4;0
32;4789Z;BUREAU DE POSTE;1;1;8;Pas de flux;;0
33;8690E;PRO;1;1;7;0 a 70% de flux;18416,21;0
34;9609Z;BUREAU DE POSTE;1;1;6;Inconnu;1113;0
35;1413Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
36;9003B;BUREAU DE POSTE;1;1;8;Inconnu;35496;0
37;4321A;A DISTANCE;1;1;7;0 a 70% de flux;54993,32;0
38;6831Z;BUREAU DE POSTE;2;1;7;Inconnu;2307,1;0
39;8551Z;BUREAU DE POSTE;2;1;7;0 a 70% de flux;11203,9;0
40;4391A;BUREAU DE POSTE;2;1;6;0 a 70% de flux;3300;0
41;1413Z;PRO;2;1;8;Plus de 70% de flux;4752,5;0
42;5610C;BUREAU DE POSTE;0;1;6;Pas de flux;;0
43;4634Z;BUREAU DE POSTE;2;1;7;0 a 70% de flux;8785,9;0
44;8690;BUREAU DE POSTE;1;1;8;Inconnu;7926,79;0
45;4764Z;PRO;1;1;6;0 a 70% de flux;16184,16;0
46;4619B;BUREAU DE POSTE;1;1;7;Inconnu;1622,75;0
47;8690;PRO;1;1;7;0 a 70% de flux;12632,26;0
48;4779Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
49;8690;BUREAU DE POSTE;2;1;8;Inconnu;3108,05;0
50;8690;PRO;2;1;9;0 a 70% de flux;24388,45;0
51;8690;BUREAU DE POSTE;1;1;8;Inconnu;12745,44;0
52;8690;PRO;2;1;8;0 a 70% de flux;60067,09;0
53;4771Z;PRO;1;1;7;Inconnu;335;0
54;0111Z;BUREAU DE POSTE;0;1;;Inconnu;300,28;0
55;8690E;BUREAU DE POSTE;1;1;;Pas de flux;;0
56;1629Z;PRO;0;1;8;Pas de flux;;0
57;8559A;A DISTANCE;0;1;;Inconnu;20056;0
58;8551Z;BUREAU DE POSTE;2;1;7;Pas de flux;;0
59;8622C;A DISTANCE;2;1;7;0 a 70% de flux;181812,71;0
60;8690;BUREAU DE POSTE;1;1;8;Inconnu;9902,06;0
61;4331Z;BUREAU DE POSTE;2;1;7;Inconnu;26175,63;0
62;8690E;PRO;2;1;8;0 a 70% de flux;25549,26;0
63;9003A;PRO;2;1;8;Inconnu;4694,09;0
64;7022Z;BUREAU DE POSTE;2;1;;Inconnu;3600;0
65;8690E;PRO;1;1;7;0 a 70% de flux;18650,07;0
66;8690E;PRO;1;1;7;0 a 70% de flux;18712,36;0
67;8690;PRO;2;1;8;0 a 70% de flux;13763,31;0
68;4332A;BUREAU DE POSTE;1;1;6;Inconnu;1915,1;0
69;4799A;BUREAU DE POSTE;2;1;6;Pas de flux;;0
70;8690;PRO;1;1;7;0 a 70% de flux;8812,7;0
71;7112B;PRO;1;1;8;Inconnu;1000;0
72;0143Z;BUREAU DE POSTE;1;1;6;Inconnu;10000;0
73;9609Z;BUREAU DE POSTE;0;1;;Inconnu;10346,78;0
74;8690;PRO;1;1;8;0 a 70% de flux;19135;0
75;4711B;A DISTANCE;1;1;6;0 a 70% de flux;55084,39;1
76;4520A;BUREAU DE POSTE;1;1;3;0 a 70% de flux;50760,03;0
77;0149Z;BUREAU DE POSTE;2;1;6;0 a 70% de flux;6241,73;0
78;9602B;BUREAU DE POSTE;1;1;;Pas de flux;;0
79;8690E;PRO;2;1;8;0 a 70% de flux;14886,45;0
80;4791B;BUREAU DE POSTE;1;1;7;Inconnu;27074,71;0
81;6831Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
82;8690;BUREAU DE POSTE;2;1;8;0 a 70% de flux;14040;0
83;7111Z;PRO;2;1;7;0 a 70% de flux;13091,82;0
84;4950Z;BUREAU DE POSTE;2;1;NC;Inconnu;4309,88;0
85;8690E;BUREAU DE POSTE;2;1;8;Inconnu;20002,46;0
86;8690;A DISTANCE;1;1;7;0 a 70% de flux;21878,8;1
87;8690;A DISTANCE;2;1;7;0 a 70% de flux;16245,78;0
88;4520A;BUREAU DE POSTE;0;1;;Inconnu;4251;0
89;4791B;BUREAU DE POSTE;1;1;6;Inconnu;3000;0
90;8551Z;BUREAU DE POSTE;1;1;7;Inconnu;2572;0
91;7490B;PRO;0;1;7;Pas de flux;;0
92;9003B;BUREAU DE POSTE;1;1;;Pas de flux;;0
93;4399C;BUREAU DE POSTE;0;0;;Pas de flux;;0
94;8559A;BUREAU DE POSTE;0;1;8;Inconnu;4695,52;0
95;8690E;PRO;2;1;8;Inconnu;36328,61;1
96;4932Z;PRO;1;1;7;0 a 70% de flux;5782,36;1
97;9511Z;PRO;0;1;;Inconnu;1419,94;0
98;8219Z;PRO;1;1;8;0 a 70% de flux;4323;0
99;9602B;BUREAU DE POSTE;0;1;;0 a 70% de flux;4659,74;0
100;4332B;BUREAU DE POSTE;1;1;6;Inconnu;3270;0
101;3514Z;BUREAU DE POSTE;2;1;8;Inconnu;3897,95;0
102;8230Z;BUREAU DE POSTE;1;1;8;Inconnu;100;0
103;8690;PRO;2;1;8;0 a 70% de flux;18272,81;1
104;8690;BUREAU DE POSTE;0;1;;Inconnu;1737,1;0
105;9003A;BUREAU DE POSTE;0;1;;Pas de flux;;0
106;3312Z;BUREAU DE POSTE;0;0;;Pas de flux;;0
107;1071C;BUREAU DE POSTE;1;1;8;Inconnu;1800;0
108;9609Z;BUREAU DE POSTE;1;1;;Inconnu;1109,97;0
109;1813Z;BUREAU DE POSTE;1;1;7;Inconnu;1500;0
110;6202A;PRO;1;1;7;0 a 70% de flux;49896;0
111;5610C;A DISTANCE;2;1;6;0 a 70% de flux;9266;0
112;3091Z;BUREAU DE POSTE;1;1;7;Inconnu;2013;0
113;9529Z;BUREAU DE POSTE;1;1;7;Inconnu;1615;0
114;4789Z;BUREAU DE POSTE;1;1;6;Inconnu;24076,45;0
115;4333Z;BUREAU DE POSTE;2;1;7;Inconnu;32608,69;0
116;7111Z;PRO;1;1;8;0 a 70% de flux;3972,75;0
117;9003A;PRO;0;1;8;0 a 70% de flux;6550,8;0
118;8551Z;BUREAU DE POSTE;2;1;7;0 a 70% de flux;5001,21;0
119;4791B;PRO;2;1;7;0 a 70% de flux;3276,6;0
120;4334Z;BUREAU DE POSTE;1;1;6;Inconnu;5748,95;0
121;7111Z;PRO;1;1;8;0 a 70% de flux;14826,25;0
122;4789Z;BUREAU DE POSTE;0;1;6;0 a 70% de flux;19887,33;0
123;5610A;PRO;1;1;6;Inconnu;10840,42;1
124;4932Z;BUREAU DE POSTE;0;1;8;0 a 70% de flux;4727,98;0
125;8559A;BUREAU DE POSTE;2;2;8;Inconnu;10773;0
126;8690;PRO;1;1;8;0 a 70% de flux;19183,28;0
127;4334Z;BUREAU DE POSTE;0;1;7;Inconnu;2123,78;0
128;8690E;PRO;1;1;7;0 a 70% de flux;7694,87;0
129;8690;PRO;1;1;8;Pas de flux;;0
130;9001Z;BUREAU DE POSTE;2;1;8;Pas de flux;;0
131;1020Z;BUREAU DE POSTE;1;1;7;Inconnu;3166,04;0
132;7112A;PRO;1;1;8;0 a 70% de flux;3650;0
133;4332B;BUREAU DE POSTE;1;1;;Pas de flux;;0
134;2341Z;PRO;1;1;7;0 a 70% de flux;2172,15;1
135;4789Z;BUREAU DE POSTE;1;1;7;Inconnu;2600,63;0
136;8621Z;PRO;1;1;8;0 a 70% de flux;5300;1
137;4540Z;PRO;1;1;7;Inconnu;5532;0
138;0311Z;BUREAU DE POSTE;2;1;8;Inconnu;13518,35;0
139;9602A;BUREAU DE POSTE;1;1;4;Inconnu;2071,14;1
140;9529Z;BUREAU DE POSTE;2;1;7;0 a 70% de flux;3926,86;0
141;8690;PRO;1;1;CESS;Pas de flux;;0
142;4331Z;BUREAU DE POSTE;1;1;;Inconnu;6081,98;0
143;1813Z;BUREAU DE POSTE;0;1;;Pas de flux;;0
144;8121Z;BUREAU DE POSTE;1;1;6;Pas de flux;;0
145;8690E;PRO;2;1;8;0 a 70% de flux;7417,75;0
146;4540Z;PRO;1;1;7;0 a 70% de flux;19261,75;0
147;8559A;A DISTANCE;2;1;7;0 a 70% de flux;20042,84;0
148;8551Z;BUREAU DE POSTE;2;1;7;Inconnu;6886;0
149;8690E;BUREAU DE POSTE;1;1;8;Inconnu;10158;0
150;7490B;BUREAU DE POSTE;1;1;;Pas de flux;;0
151;8122Z;PRO;1;1;7;Inconnu;10255,02;0
152;8622C;PRO;2;1;7;Inconnu;3237,12;0
153;8621Z;PRO;2;1;8;Inconnu;72033;0
154;8690;PRO;1;1;8;0 a 70% de flux;19052,67;0
155;8690E;PRO;1;1;8;0 a 70% de flux;14695,73;0
156;9602A;BUREAU DE POSTE;1;1;7;Inconnu;14190,4;0
157;4339Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
158;9001Z;PRO;0;1;8;Pas de flux;;0
159;4782Z;BUREAU DE POSTE;1;1;7;0 a 70% de flux;6791,01;0
160;4773Z;A DISTANCE;2;1;6;0 a 70% de flux;8815,61;0
161;5610C;PRO;1;1;6;0 a 70% de flux;31260,21;0
162;8532Z;BUREAU DE POSTE;1;1;;Pas de flux;;0
163;4674A;PRO;1;1;7;Inconnu;22012,28;0
164;8690;PRO;1;1;8;0 a 70% de flux;8414,38;0
165;7430Z;BUREAU DE POSTE;2;1;9;Inconnu;4387,68;0
166;4789Z;BUREAU DE POSTE;1;1;7;Inconnu;40177,96;1
167;8690;PRO;1;1;8;0 a 70% de flux;27915,36;0
168;7111Z;PRO;1;1;7;Inconnu;24476,71;0
169;4520A;BUREAU DE POSTE;0;1;;0 a 70% de flux;7514,38;0
170;7490B;BUREAU DE POSTE;1;1;7;Inconnu;16200;0
171;4669B;BUREAU DE POSTE;1;1;7;0 a 70% de flux;5532;0
172;8621Z;A DISTANCE;2;1;7;Inconnu;30522,26;1
173;7420Z;BUREAU DE POSTE;1;1;6;Inconnu;2210,26;0
174;7111Z;BUREAU DE POSTE;2;1;8;0 a 70% de flux;10190;0
175;8690E;PRO;2;1;8;0 a 70% de flux;18371,97;0
176;0142Z;BUREAU DE POSTE;1;1;7;Pas de flux;;0
177;7112B;BUREAU DE POSTE;1;1;8;Inconnu;2762;0
178;4791A;BUREAU DE POSTE;2;1;7;0 a 70% de flux;9941,66;0
179;0142Z;PRO;2;1;9;Inconnu;24707,84;0
180;8130Z;BUREAU DE POSTE;1;1;7;Inconnu;100;0
181;5911B;BUREAU DE POSTE;2;1;7;Inconnu;34400;0
182;7021Z;BUREAU DE POSTE;0;1;;0 a 70% de flux;5455;0
