,job_category,service_channel,nb_internet_products,contract_type,risk_of_credit,credit_flux,annual_flux,target
6757,101.0,4.0,1.0,1.0,1.0,0.0,228129.75,0.0
8886,201.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0
3411,110.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
12893,44.0,1.0,1.0,1.0,1.0,2.0,2060.77,0.0
9128,84.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
16107,54.0,1.0,2.0,1.0,2.0,2.0,13369.52,0.0
12042,0.0,0.0,2.0,1.0,0.0,0.0,11038.14,0.0
13643,421.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0
11567,116.0,1.0,0.0,1.0,1.0,2.0,1012.9,0.0
19814,501.0,3.0,0.0,1.0,6.0,1.0,0.0,0.0
20192,183.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0
19088,44.0,0.0,1.0,1.0,11.0,0.0,19308.93,1.0
12331,51.0,0.0,2.0,1.0,1.0,0.0,22478.61,0.0
4315,103.0,1.0,2.0,1.0,1.0,2.0,22724.4,0.0
6734,46.0,0.0,0.0,1.0,2.0,0.0,17191.1,0.0
15337,32.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0
7335,134.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
2661,104.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
18288,264.0,4.0,1.0,1.0,5.0,2.0,101341.33,0.0
5503,114.0,5.0,0.0,1.0,2.0,0.0,33076.35,0.0
20040,32.0,0.0,2.0,1.0,1.0,0.0,58250.94,1.0
3788,3.0,0.0,1.0,1.0,1.0,3.0,1669.47,0.0
6612,293.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0
17838,201.0,0.0,1.0,1.0,5.0,2.0,1564.22,0.0
1276,162.0,1.0,1.0,1.0,1.0,2.0,8982.06,0.0
12532,17.0,1.0,0.0,1.0,3.0,2.0,2185.83,0.0
10598,76.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0
10856,505.0,1.0,2.0,1.0,2.0,0.0,230.0,1.0
17799,90.0,0.0,1.0,1.0,9.0,3.0,58396.26,0.0
13792,23.0,1.0,0.0,1.0,5.0,2.0,11021.0,1.0
18786,94.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
116,14.0,0.0,0.0,1.0,0.0,0.0,6550.8,0.0
19274,111.0,10.0,0.0,1.0,5.0,1.0,0.0,0.0
6178,101.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0
9195,59.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
